,W_n1,W_n2,X1,X2
481,0.1,-0.43,0.49976376332501743,2.0143276559392924
482,0.1,-0.4,0.4981805134002268,2.0051005655149297
483,0.1,-0.38,0.49654736760219687,1.9957025005685787
484,0.07,-0.53,0.5041450009234737,2.0387899257501267
485,0.07,-0.5,0.5027665122040199,2.030195226038601
486,0.07,-0.48,0.5013397124144946,2.0214258460972316
487,0.07,-0.45,0.49985948033042504,2.0124623482004105
488,0.07,-0.43,0.4982794714872434,2.0033097494277503
489,0.07,-0.4,0.4966495648151339,1.9939727686572162
490,0.05,-0.55,0.5042324109111508,2.036593939279141
491,0.05,-0.53,0.5028571611741728,2.028086161952076
492,0.05,-0.5,0.501433627101981,2.019378975441913
493,0.05,-0.48,0.4999602799509726,2.0104874629797336
494,0.05,-0.45,0.498383690030543,2.001415710279771
495,0.05,-0.43,0.4967572007972467,1.9921559779974778
496,0.05,-0.4,0.495081220772952,1.9827128778266996
497,0.02,-0.58,0.5043244179134565,2.034284173956327
498,0.02,-0.55,0.502952582567607,2.0258577285697354
499,0.02,-0.53,0.501532491586755,2.017242175950213
